thumbnail_url;logo_url;channel_url;title;category;description
https://r.dcs.redcdn.pl/scale/play/playtv/images/catchup/f02fe0b5-a696-4a2d-99f1-0d6159c2902a/AEL0155169_POST_SN_1920x1080.jpg?srcmode=3&srcw=16&srch=9&dstw=420&dsth=236&quality=80&type=1;https://r.dcs.redcdn.pl/scale/play/playtv/upload/live/9/images/1025055487?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://playnow.pl/wideo/serial/29750901;Gwiazdy lombardu;Dokument;Trzy pokolenia rodziny Harrisonów prowadzą w Las Vegas rodzinny lombard. Towarzyszymy im podczas pracy, w której wiedza, bystre oko i zdolności negocjacyjne, decydują o właściwej ocenie wartości i autentyczności trafiających w ich ręce przedmiotów.
https://r.dcs.redcdn.pl/scale/play/playtv/upload/live/8/images/1028899355?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://r.dcs.redcdn.pl/scale/play/playtv/upload/live/8/images/1028899355?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://playnow.pl/wideo/serial/16595161;Sekrety egipskich grobowców;Dokument;Towarzyszymy legendarnemu archeologowi, doktorowi Zahi Hawassowi, w jego wymagającej, ale szalenie ekscytującej pracy – poszukiwaniu historycznych znalezisk i jednoczesnym zarządzaniu 250 wykopaliskami rozsianymi po całym Egipcie.
https://r.dcs.redcdn.pl/scale/play/playtv/images/catchup/e4e190ea-72a6-4961-8865-6344fba0f4ad/AEL0152818_POST_SN_1920x1080.jpg?srcmode=3&srcw=16&srch=9&dstw=420&dsth=236&quality=80&type=1;https://r.dcs.redcdn.pl/scale/play/playtv/upload/live/5511368/images/1025055463?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://playnow.pl/wideo/serial/34169195;Zbrodnia prawie doskonała;Dokument;Sprawcy zabójstw, które nie zostały rozwiązane, często sądzą, że zbrodnia uszła im na sucho. Niezależnie od tego, czy jest to spowodowane nieudanymi dochodzeniami, brakiem dowodów, czy brakiem dostępu do współczesnej nauki, domagamy się sprawiedliwości dla ofiar. Program kryminalny „Zbrodnia prawie doskonała” koncentruje się na tym, jak te „zimne spraw” zostały ponownie prześledzone z pomocą akt policyjnych, ekspertów i świadków. Wszystko to aby zabójcy w końcu zostali złapani.
https://r.dcs.redcdn.pl/scale/play/playtv/images/catchup/ff2450c6-9c14-4dd0-9286-1e21d07df6c9/2209_733110-2065-607577_P0983304_Episode_1920x1080.jpg?srcmode=3&srcw=16&srch=9&dstw=420&dsth=236&quality=80&type=1;https://r.dcs.redcdn.pl/scale/play/playtv/upload/packet/4682418/images/259965422?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://playnow.pl/wideo/serial/16072334;11 WRZEŚNIA;Historyczny;Odtajnione dane z twardych dysków, zabranych z kompleksu w Abbottabadzie, w którym zginął Osama bin Laden, rzucają nowe światło na życie osobiste saudyjskiego terrorysty. Eksperci przeglądają 470 tysięcy plików cyfrowych, z których wyłania się zatrważający obraz umysłu masowego mordercy. Poznaj jego pełną sprzeczności osobowość, relacje z rodziną, stosunek do religii, a także naznaczone przemocą i destrukcją dziedzictwo, które zostawił po sobie bezwzględny przywódca Al-Kaidy.
https://r.dcs.redcdn.pl/scale/play/playtv/images/catchup/d309f5c2-dd15-4ffd-9dde-5a5237cfc063/AEL0146308_POST_SN_1920x1080.jpg?srcmode=3&srcw=16&srch=9&dstw=420&dsth=236&quality=80&type=1;https://r.dcs.redcdn.pl/scale/play/playtv/upload/live/9/images/1025055487?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://playnow.pl/wideo/serial/25793178;Starożytni kosmici;Dokument;Program Starożytni kosmici bada nagromadzone przez miliony lat dowody na obecność obcych na Ziemi. Od epoki dinozaurów, przez starożytny Egipt, po dzisiejsze amerykańskie pustkowia.
https://r.dcs.redcdn.pl/scale/play/playtv/upload/packet/4682418/images/259965422?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://r.dcs.redcdn.pl/scale/play/playtv/upload/packet/4682418/images/259965422?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://playnow.pl/wideo/serial/25770552;GORDON RAMSAY;Kultura;Od błękitnych wód oceanu po porośnięte zielenią góry w głębi lądu – Gordon odkrywa urzekającą wyspę Portoryko. Podczas tej niezwykłej podróży nurkuje z harpunem, odwiedza ekologiczną plantację kawy i zjeżdża po linie wzdłuż wodospadu w poszukiwaniu wyśmienitych rzecznych krewetek. Po drodze poznaje tragiczne skutki niedawnego huraganu Maria oraz dowiaduje się, jak niedobory żywności zmobilizowały mieszkańców do walki o samowystarczalność.
https://r.dcs.redcdn.pl/scale/play/playtv/images/catchup/d75a5ab3-407e-4974-aa83-d6f7daf7eb98/2301_2065_10563790042668_4023917_2_Episode_1920x1080.jpg?srcmode=3&srcw=16&srch=9&dstw=420&dsth=236&quality=80&type=1;https://r.dcs.redcdn.pl/scale/play/playtv/upload/packet/4682418/images/259965422?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://playnow.pl/wideo/serial/17975904;OBCY;Nauka;W 1947 roku farmer z Nowego Meksyku znajduje na swoim ranczu szczątki tajemniczego obiektu i przekazuje niezwykłe znalezisko lokalnym władzom. Wieść o UFO błyskawicznie rozchodzi się po miasteczku, przyciągając uwagę mediów z całego kraju. Amerykański rząd zaprzecza, jakoby obiekty miały związek z istotami pozaziemskimi. Wielu nieufnych obywateli uważa, że rząd coś ukrywa.
https://r.dcs.redcdn.pl/scale/play/playtv/images/catchup/ea62cfcf-70fb-443c-9c01-5dd88ba86076/2208_720522-2065-583135_P0965557_Topic_1920x1080.jpg?srcmode=3&srcw=16&srch=9&dstw=420&dsth=236&quality=80&type=1;https://r.dcs.redcdn.pl/scale/play/playtv/upload/packet/4682418/images/259965422?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://playnow.pl/wideo/serial/15515429;EUROPA Z POWIETRZA;Kultura;Ta niesamowita podniebna podróż, zrealizowana dzięki nowoczesnym latającym kamerom, ukazuje kraje Beneluksu z zapierającej dech w piersiach perspektywy. Zobacz, jak ożywa barwny kwiatowy dywan w Brukseli, jak przebiegają skomplikowane prace w porcie Antwerpia-Brugia i jak działa największa na świecie bariera przeciwsztormowa. Przekonaj się, jakie to uczucie patrzeć, jak ogromny latawiec wzbija się w powietrze.
https://r.dcs.redcdn.pl/scale/play/playtv/images/catchup/9f16be98-c0d9-417e-b9ed-35a2b7e5691a/2306_2065_11097537586668_P0884967_Episode_1920x1080.jpg?srcmode=3&srcw=16&srch=9&dstw=420&dsth=236&quality=80&type=1;https://r.dcs.redcdn.pl/scale/play/playtv/upload/packet/4682418/images/259965422?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://playnow.pl/wideo/serial/19617451;ZAGROŻONE GATUNKI;Historia naturalna;Realizator filmów przyrodniczych Martin Dohrn wraz z zespołem ekspertów specjalizujących się w nocnych zdjęciach wyrusza do kostarykańskiej puszczy tropikalnej w poszukiwaniu wielkich kotów. W gęstych lasach deszczowych żyją pumy, oceloty i nieuchwytne jaguary. Niełatwo je sfilmować. Ekipa wykorzystuje najnowocześniejszy sprzęt - kamery termowizyjne, noktowizyjne i zdalne - by zarejestrować aktywność tajemniczych wielkich kotów.
https://r.dcs.redcdn.pl/scale/play/playtv/upload/packet/4682418/images/259965422?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://r.dcs.redcdn.pl/scale/play/playtv/upload/packet/4682418/images/259965422?srcmode=3&srcx=0&srcy=0&srcw=1&srch=1&dstw=512&dsth=512&type=0;https://playnow.pl/wideo/serial/33760027;ALASKA;Historia naturalna;Poszukiwacz przygód Shane Reynolds – znany również jako Shane O – wyrusza na wyspę Kodiak na Alasce, by wziąć udział w połowach łososia. Przy okazji spędza trochę czasu z zamieszkującymi te rejony największymi niedźwiedziami brunatnymi w Ameryce Północnej.
